,0
323,2153045326
324,2153053519
325,2153078096
326,2153053520
327,2153045328
328,2153059667
329,2153053523
330,2153045343
331,2153045350
332,2153049448
333,2153047400
334,2153051499
335,2153047404
336,2153057645
337,2153049458
338,2153057655
339,2153059706
340,2153045375
341,2153045376
342,2153051520
343,2153057672
344,2153049481
345,2153059729
346,2153047444
347,2153047446
348,2153059735
349,2153059736
350,2153074076
351,2153059752
352,2153057708
353,2153051565
354,2153045421
355,2153049522
356,2153049525
357,2153053635
358,2153061829
359,2153047500
360,2153053650
361,2153045465
362,2153059804
363,2153047517
364,2153051614
365,2153051620
366,2153055717
367,2153047524
368,2153051627
369,2153049581
370,2153045497
371,2153051645
372,2153049598
373,2153049608
374,2153059852
375,2153045519
376,2153059857
377,2153055765
378,2153055766
379,2153045527
380,2153045528
381,2153057823
382,2153055778
383,2153055781
384,2153049637
385,2153047608
386,2153045560
387,2153055809
388,2153047631
389,2153055827
390,2153049683
391,2153049687
392,2153045594
393,2153045598
394,2153047649
395,2153049701
396,2153047654
397,2153045613
398,2153047663
399,2153072240
400,2153068146
401,2153049714
402,2153053812
403,2153059956
404,2153055861
405,2153057910
406,2153057911
407,2153047677
408,2153045635
409,2153047685
410,2153055878
411,2153051786
412,2153045646
413,2153047698
414,2153045653
415,2153049752
416,2153053852
417,2153062059
418,2153051821
419,2153068213
420,2153049783
421,2153049790
422,2153055940
423,2153049797
424,2153047754
425,2153045706
426,2153064143
427,2153047764
428,2153053910
429,2153047772
430,2153045727
431,2153045729
432,2153055971
433,2153045731
434,2153049829
435,2153045735
436,2153060074
437,2153049835
438,2153062130
439,2153049843
440,2153047798
441,2153049848
442,2153045774
443,2153062162
444,2153051922
445,2153045778
446,2153049880
447,2153049884
448,2153053986
449,2153047843
450,2153066280
451,2153062185
452,2153047850
453,2153062188
454,2153060141
455,2153051948
456,2153045804
457,2153045817
458,2153047885
459,2153054030
460,2153056082
461,2153045843
462,2153045848
463,2153051995
464,2153060196
465,2153054052
466,2153045862
467,2153058151
468,2153049961
469,2153049963
470,2153052014
471,2153052023
472,2153045889
473,2153058179
474,2153058183
475,2153058186
476,2153054091
477,2153060236
478,2153058188
479,2153052043
480,2153049999
481,2153045900
482,2153047958
483,2153050022
484,2153050024
485,2153047978
486,2153074605
487,2153056173
488,2153045937
489,2153056181
490,2153050042
491,2153056191
492,2153052102
493,2153066440
494,2153056200
495,2153064395
496,2153060313
497,2153054182
498,2153045996
499,2153052145
